"lon","lat","grids","continent","WE","sd_MAT","sd_MAP","sd_NPP","sd_ALT"
-11167530.4451614,7095635.65993451,"v12","North_America",11.4247750925504,18.071775496232,26.0098525607925,2094366533.41858,121.074106093156
-10767530.4451614,7095635.65993451,"v13","North_America",10.807557957609,16.0343277182594,18.4380693853744,2371751324.52193,115.098504846075
-10367530.4451614,7095635.65993451,"v14","North_America",9.53678087191134,11.3304909169141,16.837162096565,2152394860.70702,64.3385262081513
-9567530.44516137,7095635.65993451,"v16","North_America",12.2746004048867,12.1130851806291,7.21468879216028,1728273352.7542,65.491135195723
-9167530.44516137,7095635.65993451,"v17","North_America",14.7297464199682,18.1275046234369,20.6480447010937,2743929056.6453,175.454134870835
-8767530.44516137,7095635.65993451,"v18","North_America",13.7628042736322,28.2607643847563,28.1635585165001,1888428396.60609,351.778002050532
-8367530.44516137,7095635.65993451,"v19","North_America",9.11600156668163,28.4585804983348,32.207534484861,2997587875.2774,219.571982157732
-7967530.44516137,7095635.65993451,"v20","North_America",12.449268346958,30.2644352828573,56.1574767882748,3612637533.57426,371.056128604553
-5567530.44516137,7095635.65993451,"v26","North_America",4.59026434149399,41.7761147087343,105.924420696125,257531136,618.605053868577
-5167530.44516137,7095635.65993451,"v27","North_America",4.35546682743079,47.7378819234619,111.13427878765,4801030794.58141,627.179878210781
-4767530.44516137,7095635.65993451,"v28","North_America",3.44065303306169,37.8443993587721,147.210969020152,NA,590.70299408914
-4367530.44516137,7095635.65993451,"v29","North_America",0.429098078486588,23.1807952531909,236.884737501001,NA,667.233281474815
-3967530.44516137,7095635.65993451,"v30","North_America",0.194316401448814,18.5105679533273,316.298528530535,NA,700.296431824654
-3567530.44516137,7095635.65993451,"v31","North_America",0.209766018139637,14.5104338146285,383.511473444394,NA,778.19330793023
-3167530.44516137,7095635.65993451,"v32","North_America",0.732530930014276,15.5937676660101,377.461264083232,NA,766.869954235171
-2767530.44516137,7095635.65993451,"v33","North_America",3.80712423799601,37.4358324123383,258.808042451127,NA,638.200345337053
-2367530.44516137,7095635.65993451,"v34","North_America",5.06196307074906,42.7881763330313,189.368829415339,4905786545.93842,602.561886178796
5632469.55483863,7095635.65993451,"v50","Europe",13.3244642871068,26.7250585915623,58.1932980399169,8063043841.30483,261.481145625414
8832469.55483863,7095635.65993451,"v58","Asia",25.676523939598,14.8339673037096,73.3150638923036,11220190991.8395,172.592399148171
