"lon","lat","grids","continent","WE","sd_MAT","sd_MAP","sd_NPP","sd_ALT"
11712047.7701,2197669.6737,"v15521","Asia",1063.91233074076,28.9845106208907,669.985297880143,114639958224.267,554.771064620432
12912047.7701,-6802330.3263,"v15522","Antarctica",0.000635318751987,NA,NA,NA,NA
13012047.7701,-6802330.3263,"v15524","Antarctica",0.000635318751987,NA,NA,NA,NA
13112047.7701,-6802330.3263,"v15525","Antarctica",0.000635318751987,NA,NA,NA,NA
13212047.7701,-6802330.3263,"v15526","Antarctica",0.000635318751987,NA,NA,NA,NA
13312047.7701,-6802330.3263,"v15527","Antarctica",0.000635318751987,NA,NA,NA,NA
13412047.7701,-6802330.3263,"v15528","Antarctica",0.016416895653754,NA,NA,NA,NA
13512047.7701,-6802330.3263,"v15529","Antarctica",0.050197887414933,NA,NA,NA,NA
13612047.7701,-6802330.3263,"v15530","Antarctica",0.050197887414933,NA,NA,NA,NA
13712047.7701,-6802330.3263,"v15531","Antarctica",0.286146302189638,NA,NA,NA,NA
13812047.7701,-6802330.3263,"v15532","Antarctica",0.202279378071957,NA,NA,NA,NA
13912047.7701,-6802330.3263,"v15533","Antarctica",0.202279378071957,NA,NA,NA,NA
14012047.7701,-6802330.3263,"v15534","Antarctica",0.202279378071957,NA,NA,NA,NA
14112047.7701,-6802330.3263,"v15535","Antarctica",0.202279378071957,NA,NA,NA,NA
14312047.7701,-6802330.3263,"v15537","Antarctica",0.202279378071957,NA,NA,NA,NA
-9587952.2299,2097669.6737,"v15551","North_America",899.787516853119,17.0234334344644,301.14016969834,179976585115.407,345.374364410965
-9487952.2299,2097669.6737,"v15552","North_America",917.127217702786,21.7691843820063,274.429847503105,63168122755.9629,403.540811424566
-9387952.2299,2097669.6737,"v15553","North_America",984.139806448564,26.4394460063453,293.467115852628,77393005729.5075,611.244402244964
-9287952.2299,2097669.6737,"v15554","North_America",1244.62749958409,21.0496343689245,357.254083432078,107806598239.264,436.072351301588
-9187952.2299,2097669.6737,"v15555","North_America",2356.43913063644,22.7880701649656,483.987421618367,168806811002.818,375.654796084771
-9087952.2299,2097669.6737,"v15556","North_America",2109.29733555266,21.3329982618367,404.230350886007,129046480801.922,415.285562454099
-8987952.2299,2097669.6737,"v15557","North_America",1976.33885872029,21.169189771173,232.182723993336,88350912067.6427,429.084883273576
-8887952.2299,2097669.6737,"v15558","North_America",1672.46908962141,29.0126817821022,485.730800563773,102118716425.694,517.773909583695
