"lon","lat","grids","PE","continent","sd_MAT","sd_MAP","sd_NPP","sd_ALT"
-6787952.2299,6597669.6737,"v5175",0.226396993413015,"North_America",4.44283259640342,31.6096606059128,3021502236.9432,129.967715977743
-5587952.2299,-2402330.3263,"v5176",6.79899913814997,"South_America",2.80768074726658,36.1029898633041,28734296728.7466,76.1568380189094
-6687952.2299,6597669.6737,"v5177",0.256901649353267,"North_America",5.40968955113804,31.5328173080692,2523312844.76734,150.185079493232
-5487952.2299,-2402330.3263,"v5178",7.39071356770683,"South_America",1.13544573007983,46.6945440381684,48949402557.5967,7.94785055111601
-6587952.2299,6597669.6737,"v5179",0.290136794932469,"North_America",10.6582335486143,28.6952873034017,3338066416.31879,179.99382212935
-5387952.2299,-2402330.3263,"v5180",7.31189739098723,"South_America",1.50441354502141,33.6358233961469,56449739874.0265,11.8270995554015
-6487952.2299,6597669.6737,"v5181",0.290097154430545,"North_America",10.0961344656408,33.6530287666287,2387206557.20029,167.89889647374
-5287952.2299,-2402330.3263,"v5182",7.38756464263895,"South_America",8.74857746092938,34.5826564942411,46025088954.3021,177.159734976721
-6387952.2299,6597669.6737,"v5183",0.284846221376702,"North_America",7.88329999349753,41.4309701866253,2816816719.29959,192.528746928605
-5187952.2299,-2402330.3263,"v5184",7.12835511062678,"South_America",4.92260557134952,21.9377853469952,26102523283.9891,98.6807321698324
-6287952.2299,6597669.6737,"v5185",0.3081388132022,"North_America",8.29988218386987,31.7682248264086,1568593487.332,208.691780199789
-5087952.2299,-2402330.3263,"v5186",7.22894185216015,"South_America",4.62506503013924,32.3621743348229,29009213542.0684,101.849999573228
-4987952.2299,-2402330.3263,"v5188",7.56164272913044,"South_America",3.61294816961524,22.1258125843659,52875418677.7017,81.229655566187
-4887952.2299,-2402330.3263,"v5190",7.68320498614528,"South_America",2.91902022101782,49.2557688202334,39489582666.0991,55.09545329194
-4787952.2299,-2402330.3263,"v5191",7.71147612243345,"South_America",4.04563309363327,48.7372027638287,32341452550.7469,62.9029680418578
-4687952.2299,-2402330.3263,"v5192",7.84869370097038,"South_America",5.69935789418621,57.2460806971899,27292304094.0092,85.2235290137057
-4587952.2299,-2402330.3263,"v5193",8.01711809323085,"South_America",4.81106277003122,58.4700964488487,56943106502.9467,72.2690373497066
-4487952.2299,-2402330.3263,"v5194",8.26308169492098,"South_America",6.83778595441814,39.9187861282842,26753430023.1738,93.1522502983358
-4387952.2299,-2402330.3263,"v5195",8.98058658201988,"South_America",6.22719391017115,89.0068929544983,53232599766.6378,117.393810480761
-4287952.2299,-2402330.3263,"v5196",12.1814840230212,"South_America",3.59462303543562,61.6635041641208,31215953090.976,64.5960624139263
-4187952.2299,-2402330.3263,"v5197",16.4236533846323,"South_America",9.16794201560166,80.4152723013621,143795122806.883,212.197325227176
-4087952.2299,-2402330.3263,"v5198",15.7285650780166,"South_America",14.3349339773012,111.249621365345,107286443978.63,232.126921778496
-3987952.2299,-2402330.3263,"v5199",17.9328052960781,"South_America",9.46798569123717,38.2838219068015,57268462439.0412,184.654747777295
-3887952.2299,-2402330.3263,"v5200",18.3706509019432,"South_America",3.09227192495304,29.6116807165312,116368384625.793,96.6042133377243
-4887952.2299,6597669.6737,"v5203",0.256456868500775,"North_America",10.9527869761793,105.929523439638,16357573005.4477,294.6099800128
-4787952.2299,6597669.6737,"v5204",0.250593021459972,"North_America",15.2800993264909,157.120142833777,10749994012.5657,375.631841544911
-4687952.2299,6597669.6737,"v5205",0.167736520784411,"North_America",7.6454330807495,139.445181510695,NA,224.619814876594
-4587952.2299,6597669.6737,"v5206",0.13214267116858,"North_America",4.44729033685373,117.71829042751,NA,148.748854139978
-4487952.2299,6597669.6737,"v5207",0.106679162294366,"North_America",4.81637104157237,103.151254323802,NA,109.369832587263
-4387952.2299,6597669.6737,"v5208",0.058958871335781,"North_America",3.12763463652862,93.6472876968261,NA,43.680867259839
-4287952.2299,6597669.6737,"v5209",0.078253989815264,"North_America",2.92420645051434,111.789832777155,NA,68.7015873249873
-4187952.2299,6597669.6737,"v5210",0.115976399051739,"North_America",10.187908019853,95.4669769552407,NA,197.256429820363
-4087952.2299,6597669.6737,"v5211",0.250085957815399,"North_America",21.7091030720657,118.451610546884,NA,450.232652927361
-3987952.2299,6597669.6737,"v5212",0.262494595879311,"North_America",26.1914797204991,143.804496435409,NA,547.64249123267
-2187952.2299,6597669.6737,"v5215",0.695236951363025,"Europe",9.09142933440506,103.738665074064,23767181270.1978,165.144443327946
-2087952.2299,6597669.6737,"v5216",0.702738093205639,"Europe",9.32529672369069,78.9069613927036,17684232285.7686,180.152695421461
-1987952.2299,6597669.6737,"v5217",0.980878742730163,"Europe",20.0192220848677,107.541846385557,37885792050.8541,330.003832422322
-1887952.2299,6597669.6737,"v5218",0.630254252817514,"Europe",17.7733678770604,157.567843934547,28351524031.3163,301.957769565797
-1787952.2299,6597669.6737,"v5219",0.343908118696984,"Europe",22.0736649263123,119.361290835126,13724738531.3197,346.406817109883
-1687952.2299,6597669.6737,"v5220",0.361281087692438,"Europe",32.7192415072451,146.016953631872,1849069190.41235,543.586504840333
-1587952.2299,6597669.6737,"v5221",0.696675311612359,"Europe",26.5048458096427,178.848922145827,1249700128.01319,466.931989140444
1312047.7701,-2402330.3263,"v5226",6.89921606993707,"Africa",11.039012789333,67.8932982677033,50798711344.1888,290.947908174355
1412047.7701,-2402330.3263,"v5227",7.22230316562248,"Africa",4.55580016294615,28.4493640576105,13078413505.0012,90.9227699556838
1512047.7701,-2402330.3263,"v5228",7.13178459325578,"Africa",4.10874554689181,23.615784246785,27047742521.6898,64.0172525284816
1612047.7701,-2402330.3263,"v5229",6.30448204064678,"Africa",4.84061019846829,33.8461170452099,64687556449.1727,73.889798279926
1712047.7701,-2402330.3263,"v5230",6.38247729115176,"Africa",8.13573553948928,22.9036953926135,17723566584.4521,138.020224695332
1812047.7701,-2402330.3263,"v5232",5.42697032163394,"Africa",2.9190635933833,21.7771652705671,12471772785.456,27.3756678224395
1912047.7701,-2402330.3263,"v5234",4.93817209725481,"Africa",1.58479534259841,17.0009524717653,23964790007.8922,20.067253868099
2012047.7701,-2402330.3263,"v5235",5.51459388992331,"Africa",1.43115708513989,18.2241613363422,15047166789.9831,37.9334242611131
