"lon","lat","grids","continent","WE","sd_MAT","sd_MAP","sd_NPP","sd_ALT"
-10513134.0786,3203780.9477,"v10","North_America",10.3591333982426,11.0403963298513,212.126352763433,105391579737.005,328.462510592864
-10313134.0786,3203780.9477,"v11","North_America",14.4187703585885,40.4706299154048,169.083858631289,52268116185.4796,809.460367273403
-10113134.0786,3203780.9477,"v12","North_America",5.70254186776515,17.1875531159937,110.317828146382,45252772579.5358,329.582315874324
-9913134.0786,3203780.9477,"v13","North_America",2.29601136413271,10.2420989418501,55.3845844924091,30447795036.3915,265.952325092448
-9713134.0786,3203780.9477,"v14","North_America",20.4969588444854,23.7675760814312,170.348152228048,82823248671.4391,654.231389082941
-9513134.0786,3203780.9477,"v15","North_America",11.4389946199886,3.07150443633717,52.9708999542637,42447411916.1532,68.5454801045486
-7113134.0786,-5596219.0523,"v22","South_America",19.2351648351648,24.8378350571782,1096.95062470603,37332320292.2133,574.505616288283
-6913134.0786,-5596219.0523,"v23","South_America",1.66984126984127,17.1786449609294,135.44323807723,19251764436.1231,357.645054168105
-6713134.0786,-5596219.0523,"v25","South_America",0.028571428571429,9.80001248460741,17.2336120612721,10743986619.8908,145.74858648006
-1313134.0786,3203780.9477,"v26","Africa",0.142857142857143,4.51194056660103,4.31436501846614,8432187966.34758,66.9647027326471
86865.9213999994,3203780.9477,"v34","Africa",0.008928571428571,3.38998059329146,2.37883952690869,1106100648.21809,55.3921488793532
286865.921399999,3203780.9477,"v35","Africa",0.042247386759582,8.15441575151692,3.28046657471308,2237611271.99898,152.975982967631
486865.921399999,3203780.9477,"v36","Africa",0.042247386759582,10.7173066660853,6.63033980643703,2911485472.2835,245.184526139112
686865.921399999,3203780.9477,"v37","Africa",0.042247386759582,13.2001288695958,7.99690339907662,6249525691.11124,313.687367927118
886865.921399999,3203780.9477,"v38","Africa",0.01219512195122,11.6573923068291,7.62789166529916,3609619145.26962,287.072716837219
1086865.9214,3203780.9477,"v39","Africa",0.031216182468992,6.64124794604315,2.29958795033394,5397016565.60091,131.306763745015
