"lon","lat","grids","continent","WE","sd_MAT","sd_MAP","sd_NPP","sd_ALT"
8832469.55483863,7095635.65993451,"v58","Asia",0.007462686567164,14.8339673037096,73.3150638923036,11220190991.8395,172.592399148171
9232469.55483863,7095635.65993451,"v59","Asia",0.007462686567164,19.1783167936963,64.0276608508671,11970019634.8731,182.084449624093
9632469.55483863,7095635.65993451,"v60","Asia",0.007462686567164,13.7010429450831,32.8848450566735,12041669486.1607,158.112053389376
10032469.5548386,7095635.65993451,"v61","Asia",0.007462686567164,10.4346864235493,19.7080357638207,10632377238.1323,144.786953959886
10432469.5548386,7095635.65993451,"v62","Asia",0.007462686567164,11.7998836177417,30.1515900325934,9363799655.72298,213.697514149561
10832469.5548386,7095635.65993451,"v63","Asia",0.007462686567164,11.3675804999318,27.6527053662135,12553305183.3497,143.203166861686
13232469.5548386,7095635.65993451,"v69","Asia",0.007462686567164,4.52457429766791,37.1447583777165,13021228769.8921,79.704114669754
13632469.5548386,7095635.65993451,"v70","Asia",0.007462686567164,4.84998404860918,25.5690662731651,12472659351.6704,63.2875448733251
14432469.5548386,7095635.65993451,"v72","Asia",0.007462686567164,7.9432121704941,30.5135849024266,10907915060.7235,51.4627470649432
-13967530.4451614,6695635.65993451,"v86","North_America",0.025,33.64919475122,57.6500667663026,26877628944.8154,463.01837346739
-13567530.4451614,6695635.65993451,"v87","North_America",0.025,24.3365931494151,52.1776072485556,28058051497.1775,306.243581963501
-11967530.4451614,6695635.65993451,"v91","North_America",0.015625,21.7150990174105,73.0621397435118,26427846870.8852,260.628374659519
-11567530.4451614,6695635.65993451,"v92","North_America",0.015625,23.5498274732682,39.6363048530861,24996241766.2089,150.095008444197
1232469.55483863,6695635.65993451,"v121","Europe",0.283705923605597,17.6796961893489,458.623128682648,34505564120.1058,283.37438621666
1632469.55483863,6695635.65993451,"v122","Europe",0.283705923605597,17.7187643111019,209.811376309922,36269202532.3496,288.267829571174
2032469.55483863,6695635.65993451,"v123","Europe",0.159168128714986,20.8905049847498,59.8465130714926,31831395578.1165,245.001402762696
2432469.55483863,6695635.65993451,"v124","Europe",0.283705923605597,20.1740515396092,49.9496142672092,30841632668.805,113.897242533296
