"grids","WE","sd_ALT","sd_MAP","sd_MAT","sd_NPP","lon","lat"
"v235",140489.06251269,457.681081679847,707.96954363028,2.62305766094285,247539956470.261,-8167530.44516137,1295635.65993451
"v236",215846.700140715,634.421520626997,694.922630432268,3.65954386970689,287581982143.456,-7367530.44516137,1295635.65993451
"v237",139912.504260981,497.398170475013,394.014216644594,2.8668279203493,231920786578.694,-6567530.44516137,1295635.65993451
"v264",382567.350755958,1019.25431591067,1254.27543567863,5.54606252367424,259172119124.101,-7367530.44516137,495635.659934514
"v265",99385.781017682,299.331448042296,396.448465132189,1.48522782745141,242781136882.488,-6567530.44516137,495635.659934514
"v273",94301.0261307723,343.97796939767,352.705947333396,2.27695320263703,250905975038.61,3032469.55483863,495635.659934514
"v281",87113.6934644152,286.772214894932,377.569451498405,1.27845307672694,327921548683.64,11832469.5548386,495635.659934514
"v294",406126.723486168,886.480254468947,887.512706068418,4.51307700984739,290044256937.501,-7367530.44516137,-304364.340065486
"v303",115362.738157857,357.85987133744,339.44363831102,2.09931776383056,238012991411.733,3032469.55483863,-304364.340065486
"v304",79959.3701012113,706.863301386338,258.670947753956,3.88786636762292,180138364063.891,3832469.55483863,-304364.340065486
"v323",308968.906758618,1375.41357727896,794.126797243154,6.70003808853278,367433648425.015,-7367530.44516137,-1104364.34006549
"v351",144756.09196906,1497.87456237587,505.979676356387,6.28980545614451,253139868994.214,-7367530.44516137,-1904364.34006549
"v352",243441.485625524,1769.93758531661,947.275602233325,8.5002531675168,358316696631.989,-6567530.44516137,-1904364.34006549
