"grids","WE","sd_ALT","sd_MAP","sd_MAT","sd_NPP","lon","lat"
"v1124",8717.15336243683,170.506820013077,352.655866195977,1.03626524062723,225067197930.324,-8313134.0786,1403780.9477
"v1126",13477.8093867206,223.680187287787,582.581722942513,1.09141165673382,248489353003.653,-8113134.0786,1403780.9477
"v1133",21266.7819186438,994.228687910924,304.054830557844,5.74092871530641,243640299862.835,-7113134.0786,1403780.9477
"v1135",6661.54138320964,269.035840272871,221.168730187961,1.72775951755918,258958862570.195,-6913134.0786,1403780.9477
"v1140",6687.60274196529,489.18713960094,144.979106257084,2.94423071420176,278355034105.45,-6513134.0786,1403780.9477
"v1344",22876.9413856369,734.889917671092,512.908797052916,4.18612448442187,161234053736.98,-8113134.0786,1203780.9477
"v1345",19633.6626338448,697.615442331096,237.932844235198,3.83624411973187,219387259503.073,-7913134.0786,1203780.9477
"v1346",9762.02050014545,128.871547242587,343.16542942754,0.762965043205777,269933638708.757,-7713134.0786,1203780.9477
"v1347",6093.71509894656,124.636634437822,260.715640736023,0.705261697176872,289260053887.423,-7513134.0786,1203780.9477
"v1349",8073.97420081567,516.081276787618,395.846640713042,3.1193070779005,104951146493.795,-7113134.0786,1203780.9477
"v1350",10837.2348132899,921.729421890669,346.747899641013,5.29814675243626,239764348477.314,-6913134.0786,1203780.9477
"v1351",10613.8881051771,612.058236871179,219.925620745921,3.23233804400119,144390052053.952,-6713134.0786,1203780.9477
"v1352",5911.36094390313,235.54337484934,94.3427317601904,1.73065378415607,104099953648.591,-6513134.0786,1203780.9477
"v1354",5235.96216183395,289.503113851914,139.881580128075,1.94811983797383,206361375825.543,-6113134.0786,1203780.9477
"v1409",13419.8240924442,351.068937067021,238.978839134871,1.95476966784994,218041443082.903,-7913134.0786,1003780.9477
"v1410",8552.49992835943,231.60005420529,319.484604657039,1.38477892043264,175538735733.1,-7713134.0786,1003780.9477
"v1411",13986.3746277268,243.166856294241,468.552572917294,1.38088444595821,268470464490.546,-7513134.0786,1003780.9477
"v1412",12352.5806148773,495.967360143951,604.19503669785,2.55809913620153,155732841104.221,-7313134.0786,1003780.9477
"v1413",12058.6212112039,801.444166319438,630.647672111408,4.82494709872576,219131590079.856,-7113134.0786,1003780.9477
"v1414",14140.2399225392,922.919291753885,397.118646157848,5.13256090000571,188309201316.026,-6913134.0786,1003780.9477
"v1478",21670.5007807127,807.679248287014,1308.51240291441,4.2385363605756,225181585138.37,-7313134.0786,803780.947699999
"v1479",17309.7422774241,1080.02901915985,656.24173500153,6.28689812848395,234566060534.087,-7113134.0786,803780.947699999
"v1480",9784.4972323833,1174.36079848668,454.006260173101,6.50988232869849,185775543841.354,-6913134.0786,803780.947699999
"v1484",6609.39037335713,239.860393010598,314.3115395361,0.719757466235393,80028154139.9546,-6113134.0786,803780.947699999
"v1485",6575.91670096267,381.634260335914,181.396262328451,1.60935355706308,68105903789.8937,-5913134.0786,803780.947699999
"v1486",5263.25832179121,159.054143693538,171.83240742994,0.80858597069253,143188554219.306,-5713134.0786,803780.947699999
"v1500",5844.21229780866,429.550272652907,266.943634385738,1.55669761697251,92562918100.6281,886865.921399999,803780.947699999
"v1544",26778.2909111408,996.051244835756,1616.28472591567,5.70793621859029,157581638436.039,-7313134.0786,603780.947699999
"v1545",18400.7500664068,1081.62003300296,711.133068749001,6.05333095742596,125233754260.211,-7113134.0786,603780.947699999
"v1548",5021.39727433141,338.766658609758,194.512446559141,1.70159689888214,181249637023.957,-6513134.0786,603780.947699999
"v1550",5568.16212383363,232.935385098354,169.870741744407,0.882037438140704,31637483324.1771,-6113134.0786,603780.947699999
"v1551",6931.00584343072,381.285095539355,224.94060070895,1.80413155231138,245315532998.918,-5913134.0786,603780.947699999
"v1552",5131.11271199862,294.859778956658,203.232562256521,1.56074468084335,205102763091.881,-5713134.0786,603780.947699999
"v1564",7560.53613466006,402.582241187674,209.453085214307,1.58256575272428,177336338323.504,886865.921399999,603780.947699999
"v1601",16846.7590071661,609.464842559928,1158.63475513858,2.95609040541578,259494907587.121,-7513134.0786,403780.947699999
"v1602",35908.6984273335,919.358414695379,275.179842106093,5.79699615607075,133469562664.506,-7313134.0786,403780.947699999
"v1603",8652.47070828175,823.018708109758,470.034741158968,4.75920780788544,229247484222.559,-7113134.0786,403780.947699999
"v1652",5570.07791164293,59.1556670051711,510.283322615613,0.343689464225099,230439020870.487,-7713134.0786,203780.947699999
"v1653",36364.2915503589,1081.76061795493,1124.49854048445,5.49417043560141,167990668145.712,-7513134.0786,203780.947699999
"v1654",22417.0115207787,944.176463308646,764.069612766762,4.95859061100756,199420812654.766,-7313134.0786,203780.947699999
"v1678",7927.83737556769,308.779293086002,199.089197305507,1.67962622565387,261828398210.649,2886865.9214,203780.947699999
"v1680",6082.79580387404,440.03646347052,207.592956633339,2.66787305267783,108776171476.856,3286865.9214,203780.947699999
"v1681",5287.9380509544,533.269788476787,230.423152595424,4.17688926429098,236331517000.652,3486865.9214,203780.947699999
"v1711",16155.5847170233,409.359377638629,618.199660882324,1.80426101766144,147100556389.675,-7713134.0786,3780.94769999944
"v1712",48386.780687661,1199.95494462671,1019.27826936145,6.07928588169426,276568283683.871,-7513134.0786,3780.94769999944
"v1713",7330.52321722636,31.649768252144,343.917338821448,0.249862948819245,21081507565.9535,-7313134.0786,3780.94769999944
"v1739",10095.7552800456,448.275784802624,228.419007016191,2.6842201996482,166732884386.428,2886865.9214,3780.94769999944
"v1741",5370.04397241568,220.372793335123,249.149879952536,1.2090401619412,310347750107.319,3286865.9214,3780.94769999944
"v1742",8256.17529955477,449.054258759194,280.596843588069,2.82228585697433,200345101664.211,3486865.9214,3780.94769999944
"v1771",16152.7622708977,868.126184604556,586.113858759521,3.65975620239234,106172670015.881,-7713134.0786,-196219.052300001
"v1772",25520.5670200239,1351.07354616853,1396.83272676627,6.88650894162676,294172913790.227,-7513134.0786,-196219.052300001
"v1800",6321.16594846337,388.110920537307,174.643065477691,2.29026082169652,68258717901.5919,2686865.9214,-196219.052300001
"v1801",8883.71652913858,323.475381429611,242.526253744924,1.9387341386755,95374527480.5782,2886865.9214,-196219.052300001
"v1804",6098.89317114994,417.750623001627,255.524277064893,3.06307116426242,172030224451.48,3486865.9214,-196219.052300001
"v1837",29143.771763769,1310.62205484128,304.897351876162,6.08463079134118,96132284869.6369,-7713134.0786,-396219.052300001
"v1838",22080.3990980875,962.229821091115,636.25504714985,5.11318868778218,198079128770.048,-7513134.0786,-396219.052300001
"v1868",7496.63457001062,547.778650591423,162.040396188522,2.97692490353942,171842223667.33,2686865.9214,-396219.052300001
"v1869",8207.93893853324,402.873222920799,228.129283809729,2.1842559013927,69884867072.6269,2886865.9214,-396219.052300001
"v1873",6483.75863844046,562.442297580388,184.156663183672,3.07542391948915,114278490879.822,3686865.9214,-396219.052300001
"v1892",6074.16726607764,665.542491717053,156.391916794062,3.764365684144,333349125874.82,13086865.9214,-396219.052300001
"v1893",6167.28544248157,886.31318785227,185.107148290737,5.23064622725468,233632824268.419,13286865.9214,-396219.052300001
"v1894",6249.76926183581,378.404883177745,184.689001764281,1.97052996050841,137488513946.723,13486865.9214,-396219.052300001
"v1907",27964.7310985735,942.137941838096,415.436070485089,3.60539023224957,200986784284.215,-7713134.0786,-596219.052300001
"v1908",26502.3038485707,521.402440540256,354.652655968107,2.66835073223492,43203735836.3981,-7513134.0786,-596219.052300001
"v1938",5570.08807189449,308.511418728616,116.111915976569,1.65468222004913,76372577914.5533,2686865.9214,-596219.052300001
"v1939",5753.25167618475,290.670899586876,125.859097627589,1.64941239929601,224164775274.107,2886865.9214,-596219.052300001
