"grids","WE","sd_ALT","sd_MAP","sd_MAT","sd_NPP","lon","lat"
"v10084",340.246028530451,562.862387213789,71.9369965038615,3.84889567043502,15284319417.9831,-7052645.605,-1737713.04788
"v10088",606.768360024257,404.958444242672,50.2280023986301,2.35626553764832,32349944610.6209,-6852645.605,-1737713.04788
"v10089",1143.17999753454,767.368800360894,395.372364860527,3.93635091253837,18044787059.1636,-6802645.605,-1737713.04788
"v10090",1437.5099009072,1187.81564772463,1062.37078071271,5.59083904191577,63536778569.925,-6752645.605,-1737713.04788
"v10091",1488.28746292543,348.583773084631,380.411501726106,1.50327652059032,203536278064.221,-6702645.605,-1737713.04788
"v10092",867.257982354618,398.091635362146,191.268353101147,1.67866970744824,3244896301.53321,-6652645.605,-1737713.04788
"v10093",469.877064125923,238.710784788556,70.2106172661482,0.843255401258071,196809381.962551,-6602645.605,-1737713.04788
"v1046",698.758171562761,295.381741651756,174.262328550752,2.03307012646248,160675407453.385,3647354.395,762286.95212
"v10544",328.796258910885,168.838997659773,35.0578689987337,0.908283000504816,25341530841.1778,-6802645.605,-1787713.04788
"v10545",774.97287068724,384.218622803592,117.848796601366,2.25157354685931,32463351829.5087,-6752645.605,-1787713.04788
"v10546",1517.71750494417,837.401222315661,412.596055630432,3.82600333797502,250609371510.711,-6702645.605,-1787713.04788
"v10547",1675.77759184644,326.741070506554,197.67821123232,1.48471896154076,102625093918.586,-6652645.605,-1787713.04788
"v10548",781.819998635945,340.845510041961,122.014525843653,1.36208327856529,30495666753.1672,-6602645.605,-1787713.04788
"v10549",416.053079845433,216.92934087768,58.6904699379782,0.893059230817568,6316549381.37803,-6552645.605,-1787713.04788
"v10603",326.553671866551,182.36823507434,216.212873531451,1.07523415408007,45909108210.8263,-3852645.605,-1787713.04788
"v1081",320.822684862665,265.238523416633,204.528095151044,1.24997490340696,258632760823.051,11197354.395,762286.95212
"v1082",528.750515468305,508.768493150639,80.8232030773236,2.66995661345512,164539877639.02,11247354.395,762286.95212
"v1090",343.14382631688,217.797470333275,142.571693470357,0.814507736127972,292667895051.076,11997354.395,762286.95212
"v1091",344.777636034956,421.657094978962,324.362253623185,1.69729827543238,151966766636.393,12047354.395,762286.95212
"v1095",377.618912894036,38.7490494454329,34.6166604060108,0.238182534721183,594885184.860153,-7502645.605,712286.95212
"v1096",526.74912693294,165.525567200992,710.852954049329,0.843721433792972,230978427680.197,-7452645.605,712286.95212
"v1097",786.452085332744,40.7157352493088,207.192760495824,0.257425281243996,84673950294.8825,-7402645.605,712286.95212
"v1098",1265.67689652851,809.21962634468,1545.19292690508,4.61973838547002,26734053846.5717,-7352645.605,712286.95212
"v10985",914.719224749161,503.739293985763,50.4439367195269,2.49731569508977,38671224847.3997,-6702645.605,-1837713.04788
"v10986",1222.86247398295,974.130057309391,197.299496877257,4.91720817473151,215373302413.039,-6652645.605,-1837713.04788
"v10987",1173.78492349991,292.587595154685,100.970673353505,1.15418618383025,64371411817.313,-6602645.605,-1837713.04788
"v10988",553.019738329529,418.935251499182,153.711108646557,1.82197531243594,89203316332.7113,-6552645.605,-1837713.04788
"v10989",341.874980162677,103.935348483979,26.4435194033091,0.413342366477925,12236487325.8104,-6502645.605,-1837713.04788
