"grids","WE","sd_ALT","sd_MAP","sd_MAT","sd_NPP","lon","lat","scale"
"v1",220.128553613384,181.627375543885,499.583387269072,6.05010782374489,210847222280.528,-8087952.2299,1097669.6737,"100km"
"v1039",257.872946417063,617.912595321385,175.090997618849,32.6032343979595,129473653394.955,2912047.7701,97669.6737,"100km"
"v10515",284.694212315365,327.39131366549,136.888157929248,11.9024026688302,154138220950.812,1812047.7701,-4102330.3263,"100km"
"v1091",474.475801231998,111.011766068424,669.312333120554,4.77886965663796,89842688905.8752,-7687952.2299,-2330.3263,"100km"
"v1092",3622.79621937682,1067.58362704289,823.496305349026,49.4318826291284,73645719608.6279,-7587952.2299,-2330.3263,"100km"
"v1093",3889.03412158767,1214.44087265057,968.214533566976,61.2941769140605,281308660012.35,-7487952.2299,-2330.3263,"100km"
"v1094",370.762462601883,28.5861373606928,157.415103409869,2.44985206557278,8443099752.52118,-7387952.2299,-2330.3263,"100km"
"v114",1045.6973084126,328.457448057868,439.644224162134,16.2137188400279,66243441022.0685,-7487952.2299,997669.6737,"100km"
"v115",314.62610085321,267.416970041392,479.332075885213,11.5611354482959,95536064705.9254,-7387952.2299,997669.6737,"100km"
"v119",298.21597910989,800.518599147777,542.843891962146,44.3763291929128,144377317995.678,-6987952.2299,997669.6737,"100km"
"v1194",282.960484615222,151.773026534784,527.258905983871,7.95194680199014,87504541377.5512,-7687952.2299,-102330.3263,"100km"
"v1195",1874.89935694774,923.146213806716,531.190633054088,46.2714360726949,63979534479.6136,-7587952.2299,-102330.3263,"100km"
"v11955",292.13176446246,226.327388281303,110.360398868936,10.5804170619829,28418516289.0861,-8087952.2299,4197669.6737,"100km"
"v1196",3215.48366322917,950.522006307582,820.187171995427,46.1360393922515,268424837836.674,-7487952.2299,-102330.3263,"100km"
"v1197",567.996409625614,34.70808947869,100.72783710523,2.42811977828815,7005366963.30499,-7387952.2299,-102330.3263,"100km"
"v1198",322.458473328065,15.3015007309522,76.6598288915357,1.81485564924687,3947645469.43933,-7287952.2299,-102330.3263,"100km"
"v120",310.523234858095,791.287401945563,440.504742891086,44.9371279293513,129586568668.013,-6887952.2299,997669.6737,"100km"
"v13",1130.95164128665,1301.25624779733,259.955983287803,72.8377475971145,150159809724.701,-6887952.2299,1097669.6737,"100km"
"v1300",1141.58149559819,823.094881542663,553.895539989113,40.94348829708,90928921441.6768,-7587952.2299,-202330.3263,"100km"
"v1301",1570.49435114731,328.773565568181,409.036925955185,16.0410947552928,69074181307.9844,-7487952.2299,-202330.3263,"100km"
"v1302",342.265125764973,43.6205892742846,109.443854705305,2.51103672001005,6205947296.54074,-7387952.2299,-202330.3263,"100km"
"v1303",215.450184801866,22.6138595416953,98.5581892891385,1.38208773765,3050490438.41701,-7287952.2299,-202330.3263,"100km"
"v13158",197.641512552828,957.030126285296,376.353890732837,42.3963021871028,136227207085.583,9212047.7701,3597669.6737,"100km"
"v138",467.380885988549,113.76427394979,171.753293560726,5.01781207432256,26098989776.1664,-787952.2299,997669.6737,"100km"
"v14",340.346339644021,1086.44691310648,383.69463733818,61.4915024941871,157463211681.831,-6787952.2299,1097669.6737,"100km"
"v1400",202.13401032857,266.57346624799,170.198651317712,9.17754470437827,354382101408.052,13112047.7701,-202330.3263,"100km"
"v1411",222.438299374034,727.830415278271,419.870923889492,32.0038115697268,65701805774.4988,-7687952.2299,-302330.3263,"100km"
"v1412",1070.81564207264,1021.91992248292,730.466815142055,51.6952274125521,177188871698.349,-7587952.2299,-302330.3263,"100km"
"v1413",606.225067666011,421.967135085163,255.07126567788,18.8388946135252,32865315419.7801,-7487952.2299,-302330.3263,"100km"
"v1414",394.699332180482,39.3787798393928,124.317443377015,1.99800602244921,6530646517.39196,-7387952.2299,-302330.3263,"100km"
