"grids","WE","sd_ALT","sd_MAP","sd_MAT","sd_NPP","lon","lat","scale"
"v208",46355.4580546899,684.575193216041,732.148670063185,33.2860766340049,241364275885.617,-8967530.44516137,2095635.65993451,"800km"
"v235",36449.634663601,490.682381880182,910.423268692537,25.9760579489635,247539956406.331,-8167530.44516137,1295635.65993451,"800km"
"v236",33702.5692364484,663.836663154908,845.987121605082,37.9138585452865,287581982106.27,-7367530.44516137,1295635.65993451,"800km"
"v264",228002.414688575,1037.15713563294,1497.06172806519,55.1615957551893,259172119081.176,-7367530.44516137,495635.65993451,"800km"
"v294",162131.845326951,898.264962610518,820.830601261266,44.841250751722,290044256911.141,-7367530.44516137,-304364.34006549,"800km"
"v323",71750.1005959542,1393.43370350408,791.141720361519,69.5631188312212,367433648422.179,-7367530.44516137,-1104364.34006549,"800km"
"v352",30342.3257799084,1777.71113128489,932.994737639149,87.314643877064,358316696634.454,-6567530.44516137,-1904364.34006549,"800km"
"v380",82016.6406263967,347.041877223382,229.929400607335,19.8569511383288,183364087005.543,-4167530.44516137,-2704364.34006549,"800km"
"v386",28195.8333333333,467.191353817549,595.003377833643,26.7012232677531,234874984477.335,4632469.55483863,-2704364.34006549,"800km"
"v5",NA,NA,NA,NA,NA,-13767530.4451614,6895635.65993451,"800km"
"v7",NA,NA,NA,NA,NA,-12167530.4451614,6895635.65993451,"800km"
"v8",NA,NA,NA,NA,NA,-11367530.4451614,6895635.65993451,"800km"
"v22",NA,NA,NA,NA,NA,632469.55483863,6895635.65993451,"800km"
"v23",NA,NA,NA,NA,NA,1432469.55483863,6895635.65993451,"800km"
"v24",NA,NA,NA,NA,NA,2232469.55483863,6895635.65993451,"800km"
"v25",NA,NA,NA,NA,NA,3032469.55483863,6895635.65993451,"800km"
"v26",NA,NA,NA,NA,NA,3832469.55483863,6895635.65993451,"800km"
"v27",NA,NA,NA,NA,NA,4632469.55483863,6895635.65993451,"800km"
"v28",NA,NA,NA,NA,NA,5432469.55483863,6895635.65993451,"800km"
"v29",NA,NA,NA,NA,NA,6232469.55483863,6895635.65993451,"800km"
