"grids","WE","sd_ALT","sd_MAP","sd_MAT","sd_NPP","lon","lat","scale"
"v10088",40.6069874777524,520.267020851119,41.1868976179212,27.2659535793132,32349944610.6209,-6852645.605,-1737713.04788,"050km"
"v10091",67.5077102413674,395.948845661892,330.377226469782,14.611967434345,203536278064.225,-6702645.605,-1737713.04788,"050km"
"v10107",41.1929970892466,85.1266838822904,44.9652507350552,3.64932931422432,807933612.602262,-5902645.605,-1737713.04788,"050km"
"v10108",41.1278356757946,163.273820475493,41.3930763322795,7.15979233706393,217459291.616959,-5852645.605,-1737713.04788,"050km"
"v10148",75.4059430195358,174.673427225424,231.741092327306,9.01736718115555,114057724787.27,-3852645.605,-1737713.04788,"050km"
"v10149",67.1911706180529,77.2039767159093,257.880175877974,4.79958553525262,205025688922.434,-3802645.605,-1737713.04788,"050km"
"v10150",43.0873373732549,26.8927409630753,90.2103048140094,1.22740362736744,NA,-3752645.605,-1737713.04788,"050km"
"v10271",61.9450931485368,165.897874085471,89.8135632975371,7.39362783702337,151824774152.874,4647354.395,-1737713.04788,"050km"
"v10273",192.360701572849,391.053878852765,186.872259419517,19.8124005297968,110542277521.016,4697354.395,-1737713.04788,"050km"
"v10275",106.657346193519,477.265823153314,71.8796680172713,23.3576355573524,199222680285.493,4747354.395,-1737713.04788,"050km"
"v10549",101.622480740764,237.729128488146,44.461784990462,10.3164500032979,6316549381.37803,-6552645.605,-1787713.04788,"050km"
"v10588",128.999392169338,313.00121702047,108.909378330523,14.4995545772823,22080421413.3326,-4602645.605,-1787713.04788,"050km"
"v10603",45.5219154154997,204.401015488239,183.496329396362,11.090257758009,45909108210.8263,-3852645.605,-1787713.04788,"050km"
"v10604",126.975775253255,73.1978049459842,247.536538819425,4.14958266428707,140568320243.285,-3802645.605,-1787713.04788,"050km"
"v10605",96.6949217157846,42.8088094902283,123.833990257561,2.06809325969735,75957822685.9231,-3752645.605,-1787713.04788,"050km"
"v1071",147.528359252654,45.5499977741607,256.112853931198,1.48202324875029,336886394061.609,7747354.395,762286.95212,"050km"
"v10744",95.5463907773655,347.088381802055,105.450614950531,18.750823850064,70835572332.8978,4647354.395,-1787713.04788,"050km"
"v10746",203.053046646089,451.684500830472,115.255063433241,22.1588920643458,28126012043.956,4697354.395,-1787713.04788,"050km"
"v10748",136.260787565814,495.519853350153,59.1921028348457,22.0995937077222,93997726433.6414,4747354.395,-1787713.04788,"050km"
"v10750",321.228882679235,272.620172817208,69.8436147523077,11.9069477887799,68362039416.2081,4797354.395,-1787713.04788,"050km"
"v1076",39.4666963555262,97.6005236940841,191.324181183459,4.06785508348401,92412771006.9968,9697354.395,762286.95212,"050km"
"v1081",157.081393603925,294.225472593178,264.701785795128,14.0708709350054,258632760823.051,11197354.395,762286.95212,"050km"
"v1082",737.007118997704,574.765421420815,109.71034502402,25.1171061478369,164539877639.016,11247354.395,762286.95212,"050km"
"v1096",47.4588242356246,196.991190496129,241.26239947929,8.42661087582954,230978427680.197,-7452645.605,712286.95212,"050km"
"v1097",87.4881753530139,48.4305741559796,473.768446221041,3.09451247718364,84673950294.8772,-7402645.605,712286.95212,"050km"
"v1098",331.482799567911,890.949903992261,1785.48867799934,43.9640476464869,26734053846.5677,-7352645.605,712286.95212,"050km"
"v1099",133.817891177588,593.686101097456,187.439341893711,31.5509070682872,4458452436.03674,-7302645.605,712286.95212,"050km"
"v1100",1269.40387007602,751.475126644386,647.628835097794,40.6168266795505,115507862961.397,-7252645.605,712286.95212,"050km"
"v11001",69.6912318015794,20.3002367306261,31.2772460509531,0.965703825691522,946913516.696292,-5902645.605,-1837713.04788,"050km"
"v1101",62.5386160887861,317.479025551761,226.790746680303,15.8053814710082,30584879644.8013,-7202645.605,712286.95212,"050km"
"v1102",70.6271764538718,596.152918578721,410.665077805118,29.8001892869972,96950660582.0548,-7152645.605,712286.95212,"050km"
"v1103",37.6349811721096,315.775041320044,169.276303993241,16.6537322614,21215861774.3747,-7102645.605,712286.95212,"050km"
"v11042",43.6605533446979,206.918584734343,122.932547264941,11.0759591183384,2475980034.68294,-3852645.605,-1837713.04788,"050km"
