"grids","WE","sd_ALT","sd_MAP","sd_MAT","sd_NPP","lon","lat","scale"
"v1015",1479.82571654276,385.260060732444,1594.63223590234,19.5165328155953,127256072352.638,7286865.9214,1603780.9477,"200km"
"v1126",1994.98234546211,224.664422727221,1037.9855093535,11.6190678488155,248489353003.653,-8113134.0786,1403780.9477,"200km"
"v1133",1144.26571510359,1037.55267120983,591.753720818637,62.2634742389622,243640299862.836,-7113134.0786,1403780.9477,"200km"
"v1247",1367.57918719816,462.928772074812,556.371955429707,26.0162617118555,177118959129.014,7286865.9214,1403780.9477,"200km"
"v1249",1110.2877545048,400.9238975134,414.647995903973,26.245957423056,90193668109.0896,7486865.9214,1403780.9477,"200km"
"v1344",8637.93059403817,765.60367870403,648.042544470829,42.2478933135993,161234053556.359,-8113134.0786,1203780.9477,"200km"
"v1345",6708.82442991207,742.205878148683,375.403979098515,37.4084700339449,219387259503.072,-7913134.0786,1203780.9477,"200km"
"v1346",1275.298003587,155.995450658663,574.333358390568,7.45554479095012,269933638708.756,-7713134.0786,1203780.9477,"200km"
"v1350",986.511932733562,969.124891127704,368.837093368271,53.3330318891132,239764348227.637,-6913134.0786,1203780.9477,"200km"
"v1390",1287.82404181448,423.538657494266,817.193804307,26.2382519838279,150994367139.974,7486865.9214,1203780.9477,"200km"
"v1409",1326.9571311388,395.204673355067,315.109327501877,18.7574936865171,218041443082.902,-7913134.0786,1003780.9477,"200km"
"v1410",966.481567668969,262.350501744931,589.125554135307,13.6584222844665,175538735733.1,-7713134.0786,1003780.9477,"200km"
"v1411",1851.36372998486,278.120870227137,637.572191308786,13.6722034424467,268470464469.927,-7513134.0786,1003780.9477,"200km"
"v1412",1829.61890547626,505.385671347146,878.385201589707,25.5656364199646,155732841104.22,-7313134.0786,1003780.9477,"200km"
"v1413",1058.96365294018,817.159236494979,875.783070424637,48.867907554138,219131590079.856,-7113134.0786,1003780.9477,"200km"
"v1414",2326.958487498,941.4089726906,597.871734116237,53.4010662134553,188309201316.026,-6913134.0786,1003780.9477,"200km"
"v1478",16337.1057810713,837.154056816181,1545.34801292167,40.195076902907,225181585138.367,-7313134.0786,803780.9477,"200km"
"v1479",3283.12165784637,1100.47266114335,672.092974356614,63.3072466469327,234566060534.087,-7113134.0786,803780.9477,"200km"
"v1500",1232.93630344593,446.322448621317,318.42051370023,21.3139480227596,92562918100.6281,886865.9214,803780.9477,"200km"
"v1501",1095.70114520813,360.304867145408,119.389965892492,17.8754171829336,128553754076.375,1086865.9214,803780.9477,"200km"
"v1521",2435.77329767274,390.599003572587,598.164143036465,19.4068954551193,285399864668.88,7686865.9214,803780.9477,"200km"
"v1529",1652.44072022135,426.869325447989,383.033155069043,20.0783498355148,376371598000.734,11286865.9214,803780.9477,"200km"
"v1544",16575.041243365,1023.33111550205,1901.57702905831,56.6691509679224,157581638436.038,-7313134.0786,603780.9477,"200km"
"v1545",4442.31327661354,1109.9425257184,1077.90950874736,61.2511077954746,125233754260.211,-7113134.0786,603780.9477,"200km"
"v1551",2208.02251578314,404.580000492227,595.712193145943,22.5522849376536,245315532998.918,-5913134.0786,603780.9477,"200km"
"v1552",1856.02700912881,305.939377663109,613.081641672637,17.4830459460828,205102763091.881,-5713134.0786,603780.9477,"200km"
"v1564",4389.97513291367,428.753455920223,313.046611463607,22.4487993949321,177336338028.296,886865.9214,603780.9477,"200km"
"v1565",1429.95947873886,247.781660108498,336.055003754697,12.3088739332251,106239484195.237,1086865.9214,603780.9477,"200km"
"v1591",1714.24452299,494.796740654362,490.109643454973,25.6225028381412,297157578888.767,11086865.9214,603780.9477,"200km"
"v1592",1040.99565801432,307.259599781266,305.123838339139,14.3274874002023,230189205845.646,11286865.9214,603780.9477,"200km"
"v1601",3550.73919561149,664.939362985262,1910.88887250443,28.1588233264635,259494907505.31,-7513134.0786,403780.9477,"200km"
"v1602",8845.19693413288,952.793571763851,404.422163263952,56.6127587763486,133469562664.506,-7313134.0786,403780.9477,"200km"
"v1607",1148.717917092,396.329596901897,399.090369913701,21.0690472290899,9045226151.37315,-6313134.0786,403780.9477,"200km"
"v1644",1343.84849028207,429.003900605675,384.33150707412,20.9899242915662,14308882266.9645,11086865.9214,403780.9477,"200km"
"v1653",6779.5668498302,1105.93737583576,1209.25843280489,53.9901441968087,167990668145.71,-7513134.0786,203780.9477,"200km"
"v1654",4316.91180869234,961.542063348788,798.134064624732,50.0434010053551,199420812654.765,-7313134.0786,203780.9477,"200km"
"v1711",3266.83987269392,402.026140131424,751.436267168709,18.0626771853124,147100556225.095,-7713134.0786,3780.9477,"200km"
"v1712",26492.9579063489,1224.59169190182,996.000511296945,60.9687140288412,276568283683.871,-7513134.0786,3780.9477,"200km"
"v1713",1027.00333015064,31.9990596824848,357.296289964777,4.20791192697345,21081507565.9535,-7313134.0786,3780.9477,"200km"
"v1771",981.299849778914,851.151630325035,616.004156525858,37.3362647115892,106172669979.156,-7713134.0786,-196219.0523,"200km"
