"lon","lat","grids","PE","continent","sd_MAT","sd_MAP","sd_NPP","sd_ALT"
12886865.9214,-3596219.0523,"v4207",0.92983340392679,"Australia",4.76897193058199,7.19705034934422,8939370726.57669,28.4262664526206
13086865.9214,-3596219.0523,"v4208",1.4319118636371,"Australia",5.09080307813178,9.7441256053746,8235761494.04047,41.7099435408907
13286865.9214,-3596219.0523,"v4209",6.01720370834287,"Australia",5.96813090357513,15.3495753588668,8483627969.17627,52.8109272214032
13486865.9214,-3596219.0523,"v4210",7.03515802740317,"Australia",7.89821966881567,20.3088119258667,11219956289.5787,104.273837619346
13686865.9214,-3596219.0523,"v4211",7.33610204029272,"Australia",4.40765405895187,22.727968554477,6471879175.93563,35.3597653119627
13886865.9214,-3596219.0523,"v4212",7.64853842797003,"Australia",3.56557522169902,22.7048780998718,14750543457.3195,28.5676731337596
14086865.9214,-3596219.0523,"v4213",6.99822319722946,"Australia",1.46465107655497,30.5380999905971,15222048105.082,18.6902002636846
14286865.9214,-3596219.0523,"v4214",8.5586699046321,"Australia",3.36450926646847,42.2288128079982,55590003963.9717,14.583105697747
14486865.9214,-3596219.0523,"v4215",17.3043736847468,"Australia",14.4516598715241,86.8930947211734,79806151607.7289,178.058857184401
14686865.9214,-3596219.0523,"v4216",104.099781333508,"Australia",22.4289412007436,275.824696358548,178834753998.447,394.701356801132
-11913134.0786,5003780.9477,"v4221",86.4534658044087,"North_America",13.2387180482907,363.637916300394,94234404217.6388,359.250904151758
-11713134.0786,5003780.9477,"v4222",61.738661751354,"North_America",12.7092120714366,386.823195072435,134774563534.259,257.143853906854
-11513134.0786,5003780.9477,"v4223",5.05826987999173,"North_America",12.2988045617414,48.0247590179558,48374116292.8562,207.300385560699
-11313134.0786,5003780.9477,"v4224",9.54061805104734,"North_America",16.0972647956684,52.9306773594674,41755204369.6761,346.463485585936
-11113134.0786,5003780.9477,"v4225",15.1923440870263,"North_America",33.2166597211562,120.706437168291,42428910772.3322,495.73819556931
-10913134.0786,5003780.9477,"v4226",3.37176825381662,"North_America",21.220552503302,68.7231138611795,47506921665.7109,366.665445259461
-10713134.0786,5003780.9477,"v4227",2.74529134393936,"North_America",23.144542738575,99.0877562009543,35103168046.2738,387.10397917182
-10513134.0786,5003780.9477,"v4228",2.74529134393936,"North_America",31.6747872013596,120.634025181748,35425372423.7426,541.425384585012
