"grids","PE","sd_ALT","sd_MAP","sd_MAT","sd_NPP","lon","lat"
"v10088",48.3472169080249,520.267020851119,41.1868976179212,27.2659535793132,32349944610.6209,-6852645.605,-1737713.04788
"v10091",43.1007155730182,395.948845661892,330.377226469782,14.611967434345,203536278064.225,-6702645.605,-1737713.04788
"v10148",17.8846613713513,174.673427225424,231.741092327306,9.01736718115555,114057724787.27,-3852645.605,-1737713.04788
"v10149",18.0409841636391,77.2039767159093,257.880175877974,4.79958553525262,205025688922.434,-3802645.605,-1737713.04788
"v10271",45.9219168776007,165.897874085471,89.8135632975371,7.39362783702337,151824774152.874,4647354.395,-1737713.04788
"v10273",99.8779071092021,391.053878852765,186.872259419517,19.8124005297968,110542277521.016,4697354.395,-1737713.04788
"v10275",47.3560600247068,477.265823153314,71.8796680172713,23.3576355573524,199222680285.493,4747354.395,-1737713.04788
"v10431",20.123724829114,216.468975859155,40.5439455409252,9.66263068342175,475907932905.587,13847354.395,-1737713.04788
"v10588",33.9065900362557,313.00121702047,108.909378330523,14.4995545772823,22080421413.3326,-4602645.605,-1787713.04788
"v10604",23.700262279278,73.1978049459842,247.536538819425,4.14958266428707,140568320243.285,-3802645.605,-1787713.04788
"v10605",18.3727875401443,42.8088094902283,123.833990257561,2.06809325969735,75957822685.9231,-3752645.605,-1787713.04788
"v1071",79.9868781261039,45.5499977741607,256.112853931198,1.48202324875029,336886394061.609,7747354.395,762286.95212
"v10742",27.3044753284968,52.4411449245013,30.7232394735383,1.64218907577961,60659295877.4318,4597354.395,-1787713.04788
"v10744",51.912909375125,347.088381802055,105.450614950531,18.750823850064,70835572332.8978,4647354.395,-1787713.04788
"v10746",73.106238535495,451.684500830472,115.255063433241,22.1588920643458,28126012043.956,4697354.395,-1787713.04788
"v10748",54.4338112829337,495.519853350153,59.1921028348457,22.0995937077222,93997726433.6414,4747354.395,-1787713.04788
"v10750",116.744294418948,272.620172817208,69.8436147523077,11.9069477887799,68362039416.2081,4797354.395,-1787713.04788
"v10752",25.4180367018379,39.34027749426,61.0800022911952,1.7013672052109,NA,4847354.395,-1787713.04788
"v1081",40.3286864898407,294.225472593178,264.701785795128,14.0708709350054,258632760823.051,11197354.395,762286.95212
"v1082",133.645725864891,574.765421420815,109.71034502402,25.1171061478369,164539877639.016,11247354.395,762286.95212
"v1096",19.24547342823,196.991190496129,241.26239947929,8.42661087582954,230978427680.197,-7452645.605,712286.95212
"v1097",25.9832120169595,48.4305741559796,473.768446221041,3.09451247718364,84673950294.8772,-7402645.605,712286.95212
"v1098",58.7045508484316,890.949903992261,1785.48867799934,43.9640476464869,26734053846.5677,-7352645.605,712286.95212
"v10986",23.876727401962,1025.76392625317,351.068739101835,51.0253744197042,215373302413.039,-6652645.605,-1837713.04788
"v1099",45.7283777986469,593.686101097456,187.439341893711,31.5509070682872,4458452436.03674,-7302645.605,712286.95212
"v1100",188.462364847367,751.475126644386,647.628835097794,40.6168266795505,115507862961.397,-7252645.605,712286.95212
"v1101",23.2510024487258,317.479025551761,226.790746680303,15.8053814710082,30584879644.8013,-7202645.605,712286.95212
"v1102",25.3243430632155,596.152918578721,410.665077805118,29.8001892869972,96950660582.0548,-7152645.605,712286.95212
"v1103",25.6922579440108,315.775041320044,169.276303993241,16.6537322614,21215861774.3747,-7102645.605,712286.95212
"v1104",27.5980076201108,327.372565722285,129.564900524446,17.5053422769109,60594231445.8684,-7052645.605,712286.95212
"v11043",26.5358123123407,120.77095192441,189.401353541319,6.53464775942202,332317649005.874,-3802645.605,-1837713.04788
"v11044",21.4664043515906,57.8864172465231,77.3352697182823,3.15235759386908,NA,-3752645.605,-1837713.04788
"v1105",35.8070569391837,910.076737287306,812.68196791824,53.8635892548385,222687088693.233,-7002645.605,712286.95212
"v1118",57.9511170476945,446.505020644528,113.000808056238,21.1000164359566,285288828.974843,-6352645.605,712286.95212
"v11189",22.3259695644181,61.0180135988289,40.488831531629,2.58930842871669,77845472965.2194,4597354.395,-1837713.04788
"v11191",22.9094719852708,272.908226215027,73.1979174675433,16.9978946920109,17327677967.6284,4647354.395,-1837713.04788
"v11192",27.908086145237,207.911445921943,33.847737909634,7.40876850023995,84162594192.7742,4697354.395,-1837713.04788
"v11193",53.0358499032015,311.71594393563,56.3932860375461,13.3742507303092,54669669798.4105,4747354.395,-1837713.04788
"v11194",128.119291809383,340.080308119499,112.383593615335,13.6484216060177,106433513911.062,4797354.395,-1837713.04788
"v11195",33.3146629421027,92.6650993767689,59.9728039218322,3.89048117283779,NA,4847354.395,-1837713.04788
"v1124",29.0000366336449,320.366218296951,323.717965236115,14.9379320219216,48874582898.6292,-6052645.605,712286.95212
"v1125",53.4511117529001,360.61482651263,226.600895507531,17.7991923884888,53911287689.9614,-6002645.605,712286.95212
"v1126",31.0326161943829,178.647947500382,280.302067469781,8.52396645698773,137817769937.484,-5952645.605,712286.95212
"v1127",37.5009453067364,227.636275037698,151.218836742033,9.95261033384931,132127349738.923,-5902645.605,712286.95212
"v1129",78.7156876881897,225.853029790775,215.292780250119,8.937955943284,1809194819.49162,-5802645.605,712286.95212
"v11460",34.8876887207133,958.292641704812,262.122837035635,53.9658005226502,197552071853.373,-6652645.605,-1887713.04788
"v11461",38.385352965638,376.543326920175,51.9326983553975,11.9212060001863,127885433004.642,-6602645.605,-1887713.04788
"v1148",26.3200695766908,26.188913794605,128.630319103902,1.2709160797029,64110773369.5003,-702645.605,712286.95212
"v11517",33.3240594497678,109.374459603688,136.881273597404,5.69685889549804,267697105435.591,-3802645.605,-1887713.04788
"v11518",42.2191985320291,29.8664552855196,109.022868877616,2.01974489545367,479730551.729027,-3752645.605,-1887713.04788
"v1162",30.4954131887752,47.11810000328,62.7139867248436,2.22501645120604,169051431296.248,-2645.60500000045,712286.95212
"v11658",25.7361357381842,118.264848614993,76.8681878958838,8.71051899128255,43516972404.4977,4647354.395,-1887713.04788
"v1166",22.9481877049088,4.97645114751597,187.097324366503,0.488350416307841,36185452028.5016,547354.395,712286.95212
"v11662",43.4885954755288,124.541741547599,64.3817581341644,6.02443625118334,97494943502.4882,4747354.395,-1887713.04788
"v11663",61.1886512295287,303.680411313131,191.037484283996,12.5848618662367,30056237380.2234,4797354.395,-1887713.04788
"v11664",39.68781396159,189.986181502736,98.0197733136771,8.97558885656586,425283421316.629,4847354.395,-1887713.04788
"v1172",22.0066787049041,147.997295051062,89.1797987419478,6.79157853037909,48930979392.7475,847354.395,712286.95212
"v1173",31.4766367985048,102.031909957578,46.2585802119969,3.95682594285929,58214622658.6054,897354.395,712286.95212
"v1174",81.1557011441401,640.615839265567,257.078174882256,31.2301682255146,67502225838.7254,947354.395,712286.95212
"v1175",61.3654304510832,267.785303021099,58.5337776015013,14.726127215665,14307738140.7595,997354.395,712286.95212
"v11917",54.1500727048454,814.238294473256,168.127124972872,31.4943963564989,234932177145.079,-6602645.605,-1937713.04788
"v11919",26.5957005795356,273.512478290969,61.7519472720309,8.37934613886732,9715006926.58234,-6502645.605,-1937713.04788
"v11920",18.4223803473012,293.07270848221,68.0073376638749,10.282377128707,8789510679.87384,-6452645.605,-1937713.04788
"v11973",29.8920668601501,179.894944431923,132.753393439501,7.96532920242842,82738690056.7885,-3802645.605,-1937713.04788
"v11974",28.6593231768751,27.5224509696494,71.3416011920841,1.5101052074945,314484546312.44,-3752645.605,-1937713.04788
"v12129",30.4641661431609,147.256297523486,90.6394160778444,7.49501480632702,90275033193.7211,4747354.395,-1937713.04788
"v12131",106.285506425822,273.907205072866,366.433519889961,9.78657395203528,263876015604.867,4797354.395,-1937713.04788
"v12133",73.3092567472139,288.803864046009,135.658591537912,13.5389801330848,472451791433.552,4847354.395,-1937713.04788
"v12410",18.8136479630991,528.654714316932,154.594957982958,20.3242653099933,115872558589.921,-6552645.605,-1987713.04788
"v12411",20.6398969018336,374.274916499179,123.525065592848,12.1653778885702,9151101989.54524,-6502645.605,-1987713.04788
"v12472",18.8437991822881,90.756971632089,168.686912756181,3.31579783087774,33791723403.1606,-3802645.605,-1987713.04788
"v1256",21.5889515238281,93.0553486180189,122.387400162575,3.06076871044772,23663447585.577,9697354.395,712286.95212
"v12586",41.0634851149092,415.362244532432,95.1788484030226,18.6022084193893,44036870711.0613,3447354.395,-1987713.04788
"v1263",45.1513350044997,409.411516799287,595.032322685537,20.5490011656842,8282619064.99027,11197354.395,712286.95212
"v12630",27.1233820310492,178.743968458544,117.423635590154,10.8788433579063,1015394405.92936,4747354.395,-1987713.04788
"v12632",64.1764963274573,259.657497699708,319.742441626536,11.047421223376,208770545040.57,4797354.395,-1987713.04788
"v12634",52.2513864432192,191.325967202369,94.8928701330813,8.18570385530771,NA,4847354.395,-1987713.04788
"v1264",49.0204533622631,396.542467195014,124.574225157105,17.639508037265,23673831808.1397,11247354.395,712286.95212
"v1274",18.6788056794135,134.135428593786,256.501047971598,6.31077348590956,234130962183.693,-7452645.605,662286.95212
"v12749",44.5600272863245,136.625359840695,150.788394256662,5.65243325952854,213333689447.338,13997354.395,-1987713.04788
"v1275",30.9603401854119,54.9764009453034,454.685920584716,1.85778320911732,126801296133.347,-7402645.605,662286.95212
"v12750",23.8273910032182,147.92352849288,42.9201950957029,5.68303266921308,91243981158.5546,14047354.395,-1987713.04788
"v1276",95.4181342518401,868.885063764967,1654.5570340891,43.7832214310474,98954688479.6911,-7352645.605,662286.95212
"v1277",74.9176985888359,468.987550648521,161.22780800401,25.4428597044275,95833028052.5941,-7302645.605,662286.95212
"v1278",90.812033279845,902.657210632049,494.750176018374,50.2504814281271,132104132473.38,-7252645.605,662286.95212
"v1279",18.9164313248651,407.216350332182,261.599541495834,20.671216609783,79191621283.0621,-7202645.605,662286.95212
"v1280",29.2759097194255,796.865607239897,512.868890126833,45.3859516172654,67583826158.3654,-7152645.605,662286.95212
"v1282",33.0271551810509,609.066295711269,884.127000489306,30.8139281064134,104532480617.328,-7052645.605,662286.95212
"v1283",19.4738636299913,535.560491186588,597.866347248209,28.9134769692109,99789293093.0577,-7002645.605,662286.95212
"v1293",21.0297206136916,351.998356206007,196.142785397555,17.0865321176792,42116026059.0469,-6502645.605,662286.95212
"v12966",39.3055293198478,1135.37054553042,230.123009338076,58.6450994360928,252869884195.932,-6552645.605,-2037713.04788
"v12967",22.606541764621,465.248086356738,152.87912515206,14.8914534284916,103056310529.199,-6502645.605,-2037713.04788
"v13020",27.3704057049451,142.377996808115,77.2233119311874,6.73446386240768,28944436107.213,-3852645.605,-2037713.04788
"v13021",17.711872365754,65.1461888199092,115.798437990716,1.92403430485833,147211287983.641,-3802645.605,-2037713.04788
"v1303",42.1441704809657,663.309689037727,359.995040950325,34.4732832069474,149449521449.018,-6002645.605,662286.95212
"v1304",25.2134518116917,196.153361256392,234.102640370295,8.39271439766593,94993969571.5885,-5952645.605,662286.95212
"v1305",49.0167407507913,147.699622720488,172.06585752799,6.52988544136313,154812082156.579,-5902645.605,662286.95212
"v1306",93.1731051647857,408.729998684018,155.257387337381,19.3695959220329,117859264277.165,-5852645.605,662286.95212
"v1307",76.1778885450338,242.041477778507,199.669490709819,10.7363813640028,40254640406.0476,-5802645.605,662286.95212
"v1308",93.3979248794749,168.835485258485,256.700317516015,7.81365651646921,6388351162.55724,-5752645.605,662286.95212
"v1309",33.7018926710071,232.99434074322,220.277444185208,10.7577091278519,6404275052.43559,-5702645.605,662286.95212
"v13176",41.1629713342472,239.066380879853,89.4253253601031,12.9231112300047,38262120063.881,3447354.395,-2037713.04788
"v13218",28.7571668079361,119.769543939738,154.620981093781,5.98241773705494,57871728799.9242,4747354.395,-2037713.04788
"v13220",40.6956705954801,165.689972132082,182.818040686893,8.29362079358484,364923876612.003,4797354.395,-2037713.04788
"v13345",45.2857855016623,306.535013847476,194.531358178757,14.3193738906953,230518198108.726,13997354.395,-2037713.04788
"v13347",43.5829124679283,262.594566510647,85.357113300735,9.3114855548741,108651271045.98,14047354.395,-2037713.04788
