"grids","PE","sd_ALT","sd_MAP","sd_MAT","sd_NPP","lon","lat"
"v1018",1671.67378274734,969.858077243528,834.116842448661,45.7392601294818,328067829909.55,-7567530.44516137,-504364.340065486
"v1037",868.04217132491,535.134754654845,210.281905441384,26.6025938738007,165373014249.109,3632469.55483863,-504364.340065486
"v1062",1182.64467824034,1232.79865197629,562.718258331405,53.3270610294264,325998759127.857,-7567530.44516137,-904364.340065486
"v1095",776.478665783323,917.824919458499,1058.06673148933,42.8949095471599,312908980382.68,14032469.5548386,-904364.340065486
"v1111",1177.29659082081,1324.25320193699,601.224817948509,66.4854655571198,261090982559.001,-7167530.44516137,-1304364.34006549
"v1150",912.2683614875,1785.63284823751,1088.88664232934,87.3814706543811,331423171872.751,-6767530.44516137,-1704364.34006549
"v1168",1311.20206252291,518.682013567907,236.976097161571,28.3889614098543,322574369779.246,4832469.55483863,-1704364.34006549
"v1204",868.591086300593,345.001111155108,590.850378875095,18.0771429600765,300261044211.569,4832469.55483863,-2104364.34006549
"v1229",1036.84122730611,302.391091134991,106.221566365791,17.3532321309523,190684291242.203,-3967530.44516137,-2504364.34006549
"v1239",1051.25187200052,536.149429460515,339.388123277322,34.4974880291279,215378465545.775,4432469.55483863,-2504364.34006549
"v1270",1827.88910011646,359.326431813181,306.679962703837,19.6600763273151,236094284451.873,-4367530.44516137,-2904364.34006549
"v1271",928.633969675321,374.679440952992,207.773819083738,18.5563319438585,258104537462.465,-3967530.44516137,-2904364.34006549
"v1279",1126.99687512544,350.452802584821,567.882729831403,17.2373215322576,206968654326.145,4432469.55483863,-2904364.34006549
"v1302",903.787722606117,343.627256219589,166.402744116305,17.1447146710382,182529044321.886,-4767530.44516137,-3304364.34006549
"v732",974.020523785564,704.261382580309,791.926031681411,33.3014766925482,213009757677.702,-9167530.44516137,2295635.65993451
"v777",1182.64633466589,752.181323955671,781.42962649157,38.4073491762266,228109051056.531,-8767530.44516137,1895635.65993451
"v778",899.103349225629,437.354818815613,468.60827415058,22.2271943142778,278603107076.016,-8367530.44516137,1895635.65993451
"v839",1162.54027198922,433.295910513767,1396.79373943716,23.1314960470182,145994643120.967,7232469.55483863,1495635.65993451
"v853",1322.94245236813,678.510659376999,550.527350822982,35.5543015803637,203057493194.906,-7967530.44516137,1095635.65993451
"v854",763.352384471335,233.373880035773,725.431181230982,11.5496297251771,282062107322.334,-7567530.44516137,1095635.65993451
"v855",947.206845013043,687.304310565204,834.992334752387,39.9976798073089,200551405756.855,-7167530.44516137,1095635.65993451
"v878",971.820455509494,319.583218152079,509.292578731708,19.4670921904059,248554088435.058,7632469.55483863,1095635.65993451
"v896",904.831705205062,420.709988240634,1609.67477881952,18.8220761695435,272880875405.144,-7567530.44516137,695635.659934514
"v897",2435.30448255115,1061.66497081744,862.64763881989,59.830484333865,204025925291.245,-7167530.44516137,695635.659934514
"v900",919.70639706623,365.209754659276,771.978752934943,20.2365455780127,173585119885.465,-5967530.44516137,695635.659934514
"v909",1239.699974846,453.849380135961,515.162751509985,21.8674450261199,139016073410.93,832469.554838628,695635.659934514
"v929",755.728693436235,402.331060050641,480.103229031713,19.7583117859681,378007554553.028,11232469.5548386,695635.659934514
"v944",1583.8426644252,1064.50121568029,1750.44322051898,52.3934436725472,217121549921.782,-7567530.44516137,295635.659934514
"v978",2238.47174726306,1255.90201828596,1074.86826977477,60.4841594336867,285194970298.864,-7567530.44516137,-104364.340065486
