"grids","PE","sd_ALT","sd_MAP","sd_MAT","sd_NPP","lon","lat"
"v1015",550.817181587744,385.260060732444,1594.63223590234,19.5165328155953,127256072352.638,7286865.9214,1603780.9477
"v1126",312.989450372622,224.664422727221,1037.9855093535,11.6190678488155,248489353003.653,-8113134.0786,1403780.9477
"v1133",316.355215761609,1037.55267120983,591.753720818637,62.2634742389622,243640299862.836,-7113134.0786,1403780.9477
"v1140",238.337848393068,543.369460565903,204.338699311112,30.2488543357778,278355034105.45,-6513134.0786,1403780.9477
"v1247",447.18347278016,462.928772074812,556.371955429707,26.0162617118555,177118959129.014,7286865.9214,1403780.9477
"v1249",418.949561824355,400.9238975134,414.647995903973,26.245957423056,90193668109.0896,7486865.9214,1403780.9477
"v1344",649.215447584231,765.60367870403,648.042544470829,42.2478933135993,161234053556.359,-8113134.0786,1203780.9477
"v1345",592.326630085407,742.205878148683,375.403979098515,37.4084700339449,219387259503.072,-7913134.0786,1203780.9477
"v1350",237.40958931672,969.124891127704,368.837093368271,53.3330318891132,239764348227.637,-6913134.0786,1203780.9477
"v1390",570.963838414158,423.538657494266,817.193804307,26.2382519838279,150994367139.974,7486865.9214,1203780.9477
"v1409",253.122541948584,395.204673355067,315.109327501877,18.7574936865171,218041443082.902,-7913134.0786,1003780.9477
"v1411",287.420218505314,278.120870227137,637.572191308786,13.6722034424467,268470464469.927,-7513134.0786,1003780.9477
"v1412",319.003016555442,505.385671347146,878.385201589707,25.5656364199646,155732841104.22,-7313134.0786,1003780.9477
"v1413",246.636630726727,817.159236494979,875.783070424637,48.867907554138,219131590079.856,-7113134.0786,1003780.9477
"v1414",422.286706694947,941.4089726906,597.871734116237,53.4010662134553,188309201316.026,-6913134.0786,1003780.9477
"v1454",329.61315958683,287.992547048912,389.011410262236,16.3381658095271,176307235891.568,7486865.9214,1003780.9477
"v1478",1020.99700767104,837.154056816181,1545.34801292167,40.195076902907,225181585138.367,-7313134.0786,803780.947699999
"v1479",404.993681231044,1100.47266114335,672.092974356614,63.3072466469327,234566060534.087,-7113134.0786,803780.947699999
"v1500",292.833794054686,446.322448621317,318.42051370023,21.3139480227596,92562918100.6281,886865.921399999,803780.947699999
"v1501",311.00897567592,360.304867145408,119.389965892492,17.8754171829336,128553754076.375,1086865.9214,803780.947699999
"v1521",454.960873039169,390.599003572587,598.164143036465,19.4068954551193,285399864668.88,7686865.9214,803780.947699999
"v1522",236.476722945848,469.195708757855,372.509065621747,25.7656344899413,277980124118.259,7886865.9214,803780.947699999
"v1529",295.077899499203,426.869325447989,383.033155069043,20.0783498355148,376371598000.734,11286865.9214,803780.947699999
"v1544",954.954146431643,1023.33111550205,1901.57702905831,56.6691509679224,157581638436.038,-7313134.0786,603780.947699999
"v1545",450.024751074076,1109.9425257184,1077.90950874736,61.2511077954746,125233754260.211,-7113134.0786,603780.947699999
"v1551",320.848547401555,404.580000492227,595.712193145943,22.5522849376536,245315532998.918,-5913134.0786,603780.947699999
"v1552",362.342737939224,305.939377663109,613.081641672637,17.4830459460828,205102763091.881,-5713134.0786,603780.947699999
"v1564",653.920411450714,428.753455920223,313.046611463607,22.4487993949321,177336338028.296,886865.921399999,603780.947699999
"v1565",315.062369765748,247.781660108498,336.055003754697,12.3088739332251,106239484195.237,1086865.9214,603780.947699999
"v1591",263.560190645988,494.796740654362,490.109643454973,25.6225028381412,297157578888.767,11086865.9214,603780.947699999
"v1601",456.733230243232,664.939362985262,1910.88887250443,28.1588233264635,259494907505.31,-7513134.0786,403780.947699999
"v1602",647.873335933642,952.793571763851,404.422163263952,56.6127587763486,133469562664.506,-7313134.0786,403780.947699999
"v1607",375.926221837383,396.329596901897,399.090369913701,21.0690472290899,9045226151.37315,-6313134.0786,403780.947699999
"v1644",242.122451379374,429.003900605675,384.33150707412,20.9899242915662,14308882266.9645,11086865.9214,403780.947699999
