"grids","PE","sd_ALT","sd_MAP","sd_MAT","sd_NPP","lon","lat"
"v208",2591.90237617326,684.575193216041,732.148670063185,33.2860766340049,241364275885.617,-8967530.44516137,2095635.65993451
"v235",2226.81227185969,490.682381880182,910.423268692537,25.9760579489635,247539956406.331,-8167530.44516137,1295635.65993451
"v236",2503.34231667198,663.836663154908,845.987121605082,37.9138585452865,287581982106.27,-7367530.44516137,1295635.65993451
"v264",5246.03646837501,1037.15713563294,1497.06172806519,55.1615957551893,259172119081.176,-7367530.44516137,495635.659934514
"v294",4626.51769838635,898.264962610518,820.830601261266,44.841250751722,290044256911.141,-7367530.44516137,-304364.340065486
"v323",3011.02485623184,1393.43370350408,791.141720361519,69.5631188312212,367433648422.179,-7367530.44516137,-1104364.34006549
"v362",2870.21976319734,416.976912750224,369.749284160453,25.7169117866561,282197201264.273,4632469.55483863,-1904364.34006549
"v380",3960.58833940029,347.041877223382,229.929400607335,19.8569511383288,183364087005.543,-4167530.44516137,-2704364.34006549
"v386",2815.83872909879,467.191353817549,595.003377833643,26.7012232677531,234874984477.335,4632469.55483863,-2704364.34006549
