"grids","PE","sd_ALT","sd_MAP","sd_MAT","sd_NPP","lon","lat"
"v1049",81.1773888673726,314.442674254133,396.553665818035,1.57385762896084,280747607781.305,11686865.9214,1603780.9477
"v1124",90.585025699437,170.506820013077,352.655866195977,1.03626524062723,225067197545.719,-8313134.0786,1403780.9477
"v1126",123.523818162588,223.680187287787,582.581722942513,1.09141165673382,248489353003.653,-8113134.0786,1403780.9477
"v1133",127.458166737084,994.228687910924,304.054830557844,5.74092871530641,243640299862.836,-7113134.0786,1403780.9477
"v1140",72.758588133445,489.18713960094,144.979106257084,2.94423071420176,278355034105.45,-6513134.0786,1403780.9477
"v1344",166.586560503757,734.889917671092,512.908797052916,4.18612448442187,161234053556.359,-8113134.0786,1203780.9477
"v1345",153.538240371712,697.615442331096,237.932844235198,3.83624411973187,219387259503.072,-7913134.0786,1203780.9477
"v1346",93.8707573025496,128.871547242587,343.16542942754,0.762965043205777,269933638708.756,-7713134.0786,1203780.9477
"v1347",72.102602760287,124.636634437822,260.715640736023,0.705261697176872,289260053887.422,-7513134.0786,1203780.9477
"v1349",77.0863023504017,516.081276787618,395.846640713042,3.1193070779005,104951146493.795,-7113134.0786,1203780.9477
"v1350",92.4787634865643,921.729421890669,346.747899641013,5.29814675243626,239764348227.637,-6913134.0786,1203780.9477
"v1351",91.1141434776373,612.058236871179,219.925620745921,3.23233804400119,144390052053.952,-6713134.0786,1203780.9477
"v1401",76.231016690574,185.744473775218,414.278764417931,0.737375167264978,185743451213.664,11886865.9214,1203780.9477
"v1402",79.9698299983926,240.688381677858,876.560393042887,0.910763295120416,315327129331.662,12086865.9214,1203780.9477
"v1409",113.467706360901,351.068937067021,238.978839134871,1.95476966784994,218041443082.902,-7913134.0786,1003780.9477
"v1410",87.425993720209,231.60005420529,319.484604657039,1.38477892043264,175538735733.1,-7713134.0786,1003780.9477
"v1411",114.674878459155,243.166856294241,468.552572917294,1.38088444595821,268470464469.927,-7513134.0786,1003780.9477
"v1412",118.021203241631,495.967360143951,604.19503669785,2.55809913620153,155732841104.22,-7313134.0786,1003780.9477
"v1413",103.971003572814,801.444166319438,630.647672111408,4.82494709872576,219131590079.856,-7113134.0786,1003780.9477
"v1414",109.610507809332,922.919291753885,397.118646157848,5.13256090000571,188309201316.026,-6913134.0786,1003780.9477
"v1465",72.8524943768715,253.040378153085,338.98771113078,0.733317677873707,299478651276.166,11886865.9214,1003780.9477
"v1466",77.5439029505276,432.796501226802,457.943388048487,1.70728101096244,202330033493.948,12086865.9214,1003780.9477
"v1477",75.5068177995215,141.312237745999,993.797438418334,1.02520608619535,293719464627.336,-7513134.0786,803780.947699999
"v1478",162.359665269286,807.679248287014,1308.51240291441,4.2385363605756,225181585138.367,-7313134.0786,803780.947699999
"v1479",127.067577505262,1080.02901915985,656.24173500153,6.28689812848395,234566060534.087,-7113134.0786,803780.947699999
"v1480",90.2049736813085,1174.36079848668,454.006260173101,6.50988232869849,185775543841.353,-6913134.0786,803780.947699999
"v1500",74.0504986097676,429.550272652907,266.943634385738,1.55669761697251,92562918100.6281,886865.921399999,803780.947699999
"v1533",76.0859478657881,351.629372214968,324.390979162232,1.34928634504033,292808520666.237,12086865.9214,803780.947699999
"v1543",75.9963834422936,91.9716510590911,600.530341801079,0.468443207623389,306024508282.048,-7513134.0786,603780.947699999
"v1544",183.363458984541,996.051244835756,1616.28472591567,5.70793621859029,157581638436.038,-7313134.0786,603780.947699999
"v1545",126.332008362241,1081.62003300296,711.133068749001,6.05333095742596,125233754260.211,-7113134.0786,603780.947699999
"v1564",84.1931451954035,402.582241187674,209.453085214307,1.58256575272428,177336338028.296,886865.921399999,603780.947699999
"v1591",72.4471912194223,464.742014764697,464.90693937851,2.44720751682705,297157578888.767,11086865.9214,603780.947699999
"v1592",71.8105081921894,280.445158647671,270.535730103043,1.33314629496589,230189205845.646,11286865.9214,603780.947699999
"v1601",146.624753972406,609.464842559928,1158.63475513858,2.95609040541578,259494907505.31,-7513134.0786,403780.947699999
