"grids","PE","sd_ALT","sd_MAP","sd_MAT","sd_NPP","lon","lat"
"v235",938.207969574328,457.681081679847,707.96954363028,2.62305766094285,247539956470.261,-8167530.44516137,1295635.65993451
"v236",1088.9574119354,634.421520626997,694.922630432268,3.65954386970689,287581982143.456,-7367530.44516137,1295635.65993451
"v264",1506.76619969812,1019.25431591067,1254.27543567863,5.54606252367424,259172119124.101,-7367530.44516137,495635.659934514
"v281",1022.960634229,286.772214894932,377.569451498405,1.27845307672694,327921548683.64,11832469.5548386,495635.659934514
"v294",1586.39553556571,886.480254468947,887.512706068418,4.51307700984739,290044256937.501,-7367530.44516137,-304364.340065486
"v311",1048.86571148792,354.223058917281,488.972271295617,1.87124089672932,396093808555.502,12632469.5548386,-304364.340065486
"v312",953.196337033379,873.219145649129,632.341529127483,5.02853963685314,353592888429.211,13432469.5548386,-304364.340065486
"v313",903.85914778599,536.272908269417,509.07386500403,2.91965415135436,361973171237.588,14232469.5548386,-304364.340065486
"v323",1329.63620449139,1375.41357727896,794.126797243154,6.70003808853278,367433648425.015,-7367530.44516137,-1104364.34006549
"v341",857.078781475114,415.465718095824,1059.35391800742,2.21182941512125,370061829925.991,13432469.5548386,-1104364.34006549
"v342",961.973817039634,823.296127358546,740.243893736913,4.06165301515096,338532570574.846,14232469.5548386,-1104364.34006549
"v351",914.267906173372,1497.87456237587,505.979676356387,6.28980545614451,253139868994.214,-7367530.44516137,-1904364.34006549
"v352",1148.73459907326,1769.93758531661,947.275602233325,8.5002531675168,358316696631.989,-6567530.44516137,-1904364.34006549
